id,J2,J1,freq,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,Year,G1,G2,J_id
1769,109,102,79,WHRehnquist,Nixon,R,R,RBGinsburg,Clinton,D,D,1993,1,1,102_109
1770,109,103,87,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,1993,1,1,103_109
1771,109,106,87,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,1993,1,1,106_109
1772,109,100,73,HABlackmun,Nixon,R,R,RBGinsburg,Clinton,D,D,1993,1,1,100_109
1773,109,107,92,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,1993,1,1,107_109
1774,109,108,76,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,1993,1,1,108_109
1775,103,102,56,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1994,1,1,102_103
1776,104,102,88,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1994,1,1,102_104
1777,104,103,64,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1994,1,1,103_104
1778,105,103,54,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1994,1,1,103_105
1779,105,104,84,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1994,1,1,104_105
1780,105,102,94,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1994,1,1,102_105
1781,106,105,88,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1994,1,1,105_106
1782,106,102,89,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1994,1,1,102_106
1783,106,103,68,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1994,1,1,103_106
1784,106,104,86,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1994,1,1,104_106
1785,107,104,84,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1994,1,1,104_107
1786,107,106,82,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,1994,1,1,106_107
1787,107,102,74,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,1994,1,1,102_107
1788,107,103,82,JPStevens,Ford,R,R,DHSouter,Bush,R,R,1994,1,1,103_107
1789,107,105,71,AScalia,Reagan,R,R,DHSouter,Bush,R,R,1994,1,1,105_107
1790,108,102,93,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,1994,1,1,102_108
1791,108,106,85,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,1994,1,1,106_108
1792,108,105,97,AScalia,Reagan,R,R,CThomas,Bush,R,R,1994,1,1,105_108
1793,108,104,84,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,1994,1,1,104_108
1794,108,107,68,DHSouter,Bush,R,R,CThomas,Bush,R,R,1994,1,1,107_108
1795,108,103,50,JPStevens,Ford,R,R,CThomas,Bush,R,R,1994,1,1,103_108
1796,109,103,87,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,1994,1,1,103_109
1797,109,102,71,WHRehnquist,Nixon,R,R,RBGinsburg,Clinton,D,D,1994,1,1,102_109
1798,109,105,70,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,1994,1,1,105_109
1799,109,108,65,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,1994,1,1,108_109
1800,109,106,83,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,1994,1,1,106_109
1801,109,104,74,SDOConnor,Reagan,R,R,RBGinsburg,Clinton,D,D,1994,1,1,104_109
1802,109,107,90,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,1994,1,1,107_109
1803,110,105,69,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,1994,1,1,105_110
1804,110,106,80,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,1994,1,1,106_110
1805,110,103,78,JPStevens,Ford,R,R,SGBreyer,Clinton,D,D,1994,1,1,103_110
1806,110,104,80,SDOConnor,Reagan,R,R,SGBreyer,Clinton,D,D,1994,1,1,104_110
1807,110,107,90,DHSouter,Bush,R,R,SGBreyer,Clinton,D,D,1994,1,1,107_110
1808,110,102,72,WHRehnquist,Nixon,R,R,SGBreyer,Clinton,D,D,1994,1,1,102_110
1809,110,108,66,CThomas,Bush,R,R,SGBreyer,Clinton,D,D,1994,1,1,108_110
1810,110,109,90,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,1994,1,1,109_110
1811,103,102,62,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1995,1,1,102_103
1812,104,102,96,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1995,1,1,102_104
1813,104,103,67,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1995,1,1,103_104
1814,105,103,59,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1995,1,1,103_105
1815,105,104,91,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1995,1,1,104_105
1816,105,102,101,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1995,1,1,102_105
1817,106,105,93,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1995,1,1,105_106
1818,106,102,97,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1995,1,1,102_106
1819,106,103,74,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1995,1,1,103_106
1820,106,104,93,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1995,1,1,104_106
1821,107,104,86,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1995,1,1,104_107
